Location,meter_uid,utility,utility_service_id,utility_service_address,utility_meter_number,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,source,updated,bill_volume,bill_total_unit
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,3/12/2021,4/13/2021,32,,,198.28,,,112,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,2/10/2021,3/12/2021,30,,,593.44,,,381,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,1/11/2021,2/10/2021,30,,,2325.22,,,1600,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,12/10/2020,1/11/2021,32,,,2609.25,,,1790,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,11/10/2020,12/10/2020,30,,,1000.3,,,672,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,10/12/2020,11/10/2020,29,,,212.38,,,130,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,9/10/2020,10/12/2020,32,,,213.97,,,133,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,8/11/2020,9/10/2020,30,,,177.72,,,113,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,7/10/2020,8/11/2020,32,,,175.82,,,116,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,6/11/2020,7/10/2020,29,,,155.99,,,103,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,5/12/2020,6/11/2020,30,,,167.01,,,102,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,4/13/2020,5/12/2020,29,,,163.99,,,101,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,3/12/2020,4/13/2020,32,,,1534.53,,,1160,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,2/11/2020,3/12/2020,30,,,1954.41,,,1358,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,1/10/2020,2/11/2020,32,,,2731.93,,,1886,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,12/11/2019,1/10/2020,30,,,2569.93,,,1859,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,11/12/2019,12/11/2019,29,,,570.21,,,407,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,10/11/2019,11/12/2019,32,,,355.3,,,264,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,9/12/2019,10/11/2019,29,,,208.11,,,151,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,8/13/2019,9/12/2019,30,,,210.95,,,150,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,7/12/2019,8/13/2019,32,,,197.86,,,130,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,6/12/2019,7/12/2019,30,,,184.76,,,126,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,5/13/2019,6/12/2019,30,,,195.65,,,140,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,4/12/2019,5/13/2019,31,,,231.18,,,163,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,3/13/2019,4/12/2019,30,,,2135.93,,,1677,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,2/11/2019,3/13/2019,30,,,2705.72,,,1942,therms
Melrose ES,,GAS,6003512005,"1325 53RD AVE, OAKLAND",62070841,GNR1,1/10/2019,2/11/2019,32,,,3163.15,,,2249,therms
Melrose ES,,GAS,,"1325 53RD AVE, OAKLAND",62070841,GNR1,12/11/2018,1/10/2019,30,,,3057.04,,,2253,therms
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,3/11/2021,4/12/2021,32,,"8,299",1589.96,,,8299,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,2/9/2021,3/11/2021,30,,"6,872",1274.72,,,6872,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,1/10/2021,2/9/2021,30,,"6,691",1214.66,,,6691,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,12/9/2020,1/10/2021,32,,"7,228",1247.24,,,7228,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,11/9/2020,12/9/2020,30,,"5,868",991.8,,,5868,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,10/11/2020,11/9/2020,29,,"5,619",949.65,,,5619,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,9/9/2020,10/11/2020,32,,"6,310",1100.24,,,6310,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,8/10/2020,9/9/2020,30,,"6,929",1225.21,,,6929,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,7/9/2020,8/10/2020,32,,"6,347",1124.34,,,6347,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,6/10/2020,7/9/2020,29,,"6,397",1127.13,,,6397,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,5/11/2020,6/10/2020,30,,"7,660",1398.2,,,7660,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,4/12/2020,5/11/2020,29,,"5,969",1037.41,,,5969,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HB6,3/12/2020,4/12/2020,31,,"8,955",1506.26,,,8955,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,2/10/2020,3/12/2020,31,,"15,226",2457.51,,,15226,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,1/9/2020,2/10/2020,32,,"15,895",2565.15,,,15895,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,12/10/2019,1/9/2020,30,,"12,743",2020.05,,,12743,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,11/11/2019,12/10/2019,29,,"11,897",1869.86,,,11897,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,10/10/2019,11/11/2019,32,,"13,702",2366.98,,,13702,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,9/11/2019,10/10/2019,29,,"8,458",1510.26,,,8458,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,8/12/2019,9/11/2019,30,,"14,681",2564.08,,,14681,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,7/11/2019,8/12/2019,32,,"8,304",1460.95,,,8304,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,6/11/2019,7/11/2019,30,,"8,693",1531.36,,,8693,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,5/12/2019,6/11/2019,30,,"12,906",2265.95,,,12906,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,4/11/2019,5/12/2019,31,,"13,135",2108.88,,,13135,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,3/12/2019,4/11/2019,30,,"12,320",1865.31,,,12320,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,2/10/2019,3/12/2019,30,,"12,862",1916.04,,,12862,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,1/9/2019,2/10/2019,32,,"14,124",2078.84,,,14124,kwh
Melrose ES,,ELEC,,"1325 53RD AVE, OAKLAND",1010435392,HA1X,12/10/2018,1/9/2019,30,,"10,963",1640.13,,,10963,kwh
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,3/10/2021,4/9/2021,30,,,540.33,,,394,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,2/8/2021,3/10/2021,30,,,507.41,,,345,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,1/8/2021,2/8/2021,31,,,60.24,,,31,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,12/9/2020,1/8/2021,30,,,715.77,,,481,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,11/6/2020,12/9/2020,33,,,328.19,,,210,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,10/8/2020,11/6/2020,29,,,109,,,66,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,9/7/2020,10/8/2020,31,,,137.5,,,89,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,8/6/2020,9/7/2020,32,,,176.65,,,131,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,7/8/2020,8/6/2020,29,,,68.66,,,39,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,6/9/2020,7/8/2020,29,,,114.51,,,83,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,4/9/2020,6/9/2020,61,,,267.7,,,202,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,3/10/2020,4/9/2020,30,,,509.94,,,396,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,2/7/2020,3/10/2020,32,,,536.04,,,369,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,1/8/2020,2/7/2020,30,,,926.74,,,662,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,12/9/2019,1/8/2020,30,,,656.63,,,483,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,11/7/2019,12/9/2019,32,,,628.36,,,487,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,10/9/2019,11/7/2019,29,,,277.95,,,223,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,9/10/2019,10/9/2019,29,,,146.5,,,102,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,8/9/2019,9/10/2019,32,,,105.34,,,53,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,7/11/2019,8/9/2019,29,,,112.98,,,64,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,6/8/2019,7/11/2019,33,,,184.32,,,134,therms
Martin Luther King Jr ES,,GAS,,"10TH & FILBERT ST, OAKLAND",48175336,GNR1,5/10/2019,6/8/2019,29,,,397.97,,,369,therms
